Path,Line Coverage,Function Coverage,Region Coverage
src/git/connect.c,0.00% (0/792),0.00% (0/43),0.00% (0/587)
src/git/connected.c,0.00% (0/92),0.00% (0/1),0.00% (0/76)
src/git/convert.c,0.00% (0/1194),0.00% (0/60),0.00% (0/998)
src/git/convert.h,0.00% (0/13),0.00% (0/3),0.00% (0/3)
src/git/copy.c,0.00% (0/55),0.00% (0/4),0.00% (0/50)
src/git/credential.c,0.00% (0/275),0.00% (0/22),0.00% (0/227)
src/git/csum-file.c,0.00% (0/152),0.00% (0/15),0.00% (0/99)
src/git/csum-file.h,0.00% (0/15),0.00% (0/4),0.00% (0/8)
src/git/date.c,0.00% (0/884),0.00% (0/44),0.00% (0/686)
src/git/decorate.c,0.00% (0/58),0.00% (0/5),0.00% (0/34)
src/git/delta-islands.c,0.00% (0/294),0.00% (0/20),0.00% (0/270)
src/git/delta.h,0.00% (0/22),0.00% (0/2),0.00% (0/9)
src/git/diff-delta.c,0.00% (0/258),0.00% (0/4),0.00% (0/181)
src/git/diff-lib.c,0.00% (0/433),0.00% (0/16),0.00% (0/320)
src/git/diff-merges.c,0.00% (0/78),0.00% (0/13),0.00% (0/50)
src/git/diff-no-index.c,0.00% (0/190),0.00% (0/7),0.00% (0/128)
src/git/diff.c,0.00% (0/4459),0.00% (0/206),0.00% (0/3663)
src/git/diff.h,0.00% (0/8),0.00% (0/1),0.00% (0/4)
src/git/diffcore-break.c,0.00% (0/117),0.00% (0/3),0.00% (0/103)
src/git/diffcore-delta.c,0.00% (0/156),0.00% (0/5),0.00% (0/98)
src/git/diffcore-order.c,0.00% (0/99),0.00% (0/6),0.00% (0/74)
src/git/diffcore-pickaxe.c,0.00% (0/190),0.00% (0/8),0.00% (0/173)
src/git/diffcore-rename.c,0.00% (0/827),0.00% (0/30),0.00% (0/687)
src/git/diffcore-rotate.c,0.00% (0/31),0.00% (0/1),0.00% (0/33)
src/git/dir-iterator.c,0.00% (0/127),0.00% (0/6),0.00% (0/105)
src/git/dir.c,0.19% (4/2063),0.90% (1/111),0.12% (2/1713)
src/git/dir.h,0.00% (0/15),0.00% (0/3),0.00% (0/16)
src/git/editor.c,0.00% (0/80),0.00% (0/6),0.00% (0/69)
src/git/entry.c,0.00% (0/386),0.00% (0/16),0.00% (0/323)
src/git/entry.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/git/environment.c,0.00% (0/178),0.00% (0/26),0.00% (0/113)
src/git/ewah/bitmap.c,0.00% (0/149),0.00% (0/17),0.00% (0/122)
src/git/ewah/ewah_bitmap.c,0.00% (0/318),0.00% (0/23),0.00% (0/211)
src/git/ewah/ewah_io.c,0.00% (0/74),0.00% (0/4),0.00% (0/62)
src/git/ewah/ewah_rlw.c,0.00% (0/58),0.00% (0/4),0.00% (0/29)
src/git/ewah/ewok.h,0.00% (0/6),0.00% (0/1),0.00% (0/1)
src/git/ewah/ewok_rlw.h,0.00% (0/40),0.00% (0/10),0.00% (0/27)
src/git/exec-cmd.c,11.54% (9/78),20.00% (2/10),8.93% (5/56)
src/git/fetch-negotiator.c,0.00% (0/15),0.00% (0/1),0.00% (0/5)
src/git/fetch-pack.c,0.00% (0/1329),0.00% (0/48),0.00% (0/1084)
src/git/fmt-merge-msg.c,0.00% (0/372),0.00% (0/17),0.00% (0/277)
src/git/fsck.c,0.00% (0/829),0.00% (0/39),0.00% (0/656)
src/git/fsmonitor.c,0.00% (0/277),0.00% (0/14),0.00% (0/240)
src/git/fsmonitor.h,0.00% (0/17),0.00% (0/3),0.00% (0/26)
src/git/fuzz-commit-graph.c,100.00% (8/8),100.00% (1/1),100.00% (1/1)
src/git/gettext.c,0.00% (0/55),0.00% (0/6),0.00% (0/31)
src/git/gettext.h,50.00% (4/8),50.00% (1/2),60.00% (3/5)
src/git/git-compat-util.h,20.73% (34/164),31.25% (10/32),21.74% (25/115)
src/git/git.c,0.00% (0/335),0.00% (0/14),0.00% (0/311)
src/git/gpg-interface.c,0.00% (0/235),0.00% (0/14),0.00% (0/207)
src/git/graph.c,0.00% (0/678),0.00% (0/47),0.00% (0/460)
src/git/grep.c,0.00% (0/1189),0.00% (0/66),0.00% (0/871)
src/git/hash-lookup.c,0.00% (0/61),0.00% (0/3),0.00% (0/56)
src/git/hash.h,6.86% (7/102),9.09% (2/22),6.78% (4/59)
src/git/hashmap.c,29.30% (63/215),40.00% (10/25),26.67% (40/150)
src/git/hashmap.h,16.33% (8/49),25.00% (2/8),10.53% (2/19)
src/git/help.c,0.00% (0/416),0.00% (0/28),0.00% (0/277)
src/git/help.h,0.00% (0/24),0.00% (0/4),0.00% (0/28)
src/git/hex.c,0.00% (0/84),0.00% (0/14),0.00% (0/56)
src/git/ident.c,0.00% (0/411),0.00% (0/27),0.00% (0/325)
src/git/json-writer.c,0.00% (0/262),0.00% (0/41),0.00% (0/149)
src/git/khash.h,2.07% (3/145),9.09% (1/11),1.50% (2/133)
src/git/kwset.c,0.00% (0/523),0.00% (0/13),0.00% (0/443)
src/git/levenshtein.c,0.00% (0/34),0.00% (0/1),0.00% (0/27)
src/git/line-log.c,0.00% (0/744),0.00% (0/54),0.00% (0/498)
src/git/line-range.c,0.00% (0/214),0.00% (0/6),0.00% (0/189)
src/git/linear-assignment.c,0.00% (0/164),0.00% (0/1),0.00% (0/126)
src/git/list-objects-filter-options.c,0.00% (0/256),0.00% (0/16),0.00% (0/188)
src/git/list-objects-filter-options.h,0.00% (0/4),0.00% (0/1),0.00% (0/1)
src/git/list-objects-filter.c,0.00% (0/388),0.00% (0/22),0.00% (0/231)
src/git/list-objects.c,0.00% (0/286),0.00% (0/13),0.00% (0/235)
src/git/list.h,0.00% (0/68),0.00% (0/14),0.00% (0/14)
src/git/ll-merge.c,0.00% (0/211),0.00% (0/12),0.00% (0/142)
src/git/lockfile.c,0.00% (0/118),0.00% (0/9),0.00% (0/88)
src/git/lockfile.h,0.00% (0/37),0.00% (0/12),0.00% (0/12)
src/git/log-tree.c,0.00% (0/659),0.00% (0/31),0.00% (0/488)
src/git/ls-refs.c,0.00% (0/68),0.00% (0/5),0.00% (0/57)
src/git/mailinfo.c,0.00% (0/845),0.00% (0/41),0.00% (0/649)
src/git/mailmap.c,0.00% (0/215),0.00% (0/15),0.00% (0/144)
src/git/match-trees.c,0.00% (0/227),0.00% (0/10),0.00% (0/129)
src/git/mem-pool.c,0.00% (0/93),0.00% (0/9),0.00% (0/51)
src/git/merge-blobs.c,0.00% (0/60),0.00% (0/4),0.00% (0/40)
src/git/merge-ort-wrappers.c,0.00% (0/34),0.00% (0/3),0.00% (0/18)
src/git/merge-ort.c,0.00% (0/2366),0.00% (0/64),0.00% (0/1453)
src/git/merge-recursive.c,0.00% (0/2083),0.00% (0/87),0.00% (0/1238)
src/git/merge.c,0.00% (0/76),0.00% (0/3),0.00% (0/46)
src/git/mergesort.c,0.00% (0/49),0.00% (0/3),0.00% (0/37)
src/git/midx.c,0.00% (0/973),0.00% (0/44),0.00% (0/769)
src/git/name-hash.c,0.96% (3/314),3.45% (1/29),1.31% (3/229)
src/git/negotiator/default.c,0.00% (0/106),0.00% (0/10),0.00% (0/101)
src/git/negotiator/noop.c,0.00% (0/21),0.00% (0/6),0.00% (0/8)
src/git/negotiator/skipping.c,0.00% (0/133),0.00% (0/12),0.00% (0/116)
src/git/notes-cache.c,0.00% (0/64),0.00% (0/5),0.00% (0/46)
src/git/notes-merge.c,0.00% (0/531),0.00% (0/17),0.00% (0/466)
src/git/notes-utils.c,0.00% (0/97),0.00% (0/6),0.00% (0/67)
src/git/notes.c,0.00% (0/823),0.00% (0/48),0.00% (0/569)
src/git/object-file.c,0.00% (0/1624),0.00% (0/118),0.00% (0/1222)
src/git/object-name.c,0.00% (0/1305),0.00% (0/68),0.00% (0/1102)
src/git/object-store.h,0.00% (0/20),0.00% (0/4),0.00% (0/10)
src/git/object.c,15.38% (62/403),15.15% (5/33),13.57% (38/280)
src/git/oid-array.c,0.00% (0/59),0.00% (0/9),0.00% (0/48)
src/git/oid-array.h,0.00% (0/7),0.00% (0/1),0.00% (0/5)
src/git/oidmap.c,8.57% (3/35),16.67% (1/6),13.04% (3/23)
src/git/oidmap.h,0.00% (0/12),0.00% (0/3),0.00% (0/3)
src/git/oidset.c,0.00% (0/58),0.00% (0/8),0.00% (0/42)
src/git/oidset.h,0.00% (0/15),0.00% (0/3),0.00% (0/13)
src/git/oidtree.c,0.00% (0/52),0.00% (0/6),0.00% (0/31)
src/git/pack-bitmap-write.c,0.00% (0/426),0.00% (0/21),0.00% (0/254)
src/git/pack-bitmap.c,0.00% (0/963),0.00% (0/56),0.00% (0/669)
src/git/pack-check.c,0.00% (0/134),0.00% (0/5),0.00% (0/82)
src/git/pack-objects.c,0.00% (0/136),0.00% (0/9),0.00% (0/90)
src/git/pack-objects.h,0.00% (0/73),0.00% (0/11),0.00% (0/39)
src/git/pack-revindex.c,0.00% (0/271),0.00% (0/15),0.00% (0/241)
src/git/pack-write.c,0.00% (0/352),0.00% (0/18),0.00% (0/278)
src/git/packfile.c,0.42% (6/1443),1.11% (1/90),0.38% (4/1059)
src/git/pager.c,0.00% (0/138),0.00% (0/13),0.00% (0/74)
src/git/parallel-checkout.c,0.00% (0/401),0.00% (0/22),0.00% (0/269)
src/git/parse-options-cb.c,0.00% (0/190),0.00% (0/18),0.00% (0/184)
src/git/parse-options.c,0.00% (0/697),0.00% (0/25),0.00% (0/685)
src/git/patch-delta.c,0.00% (0/62),0.00% (0/1),0.00% (0/107)
src/git/patch-ids.c,0.00% (0/77),0.00% (0/10),0.00% (0/54)
src/git/path.c,8.70% (76/874),11.67% (7/60),7.41% (55/742)
src/git/path.h,0.00% (0/11),0.00% (0/2),0.00% (0/6)
src/git/pathspec.c,0.00% (0/438),0.00% (0/22),0.00% (0/403)
src/git/pathspec.h,0.00% (0/17),0.00% (0/3),0.00% (0/13)
src/git/pkt-line.c,0.00% (0/439),0.00% (0/40),0.00% (0/312)
src/git/preload-index.c,0.00% (0/107),0.00% (0/3),0.00% (0/109)
src/git/pretty.c,0.00% (0/1474),0.00% (0/56),0.00% (0/1102)
src/git/pretty.h,0.00% (0/3),0.00% (0/1),0.00% (0/3)
src/git/prio-queue.c,0.00% (0/67),0.00% (0/7),0.00% (0/68)
src/git/progress.c,0.00% (0/224),0.00% (0/19),0.00% (0/120)
src/git/promisor-remote.c,0.00% (0/141),0.00% (0/10),0.00% (0/99)
src/git/promisor-remote.h,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/git/prompt.c,0.00% (0/60),0.00% (0/3),0.00% (0/42)
src/git/protocol-caps.c,0.00% (0/37),0.00% (0/2),0.00% (0/25)
src/git/protocol.c,0.00% (0/51),0.00% (0/3),0.00% (0/39)
src/git/prune-packed.c,0.00% (0/25),0.00% (0/3),0.00% (0/17)
src/git/quote.c,0.00% (0/375),0.00% (0/25),0.00% (0/318)
src/git/range-diff.c,0.00% (0/437),0.00% (0/15),0.00% (0/311)
src/git/reachable.c,0.00% (0/121),0.00% (0/10),0.00% (0/78)
src/git/read-cache.c,1.61% (36/2238),3.64% (4/110),1.07% (22/2051)
src/git/rebase-interactive.c,0.00% (0/174),0.00% (0/6),0.00% (0/113)
src/git/ref-filter.c,0.00% (0/1410),0.00% (0/80),0.00% (0/1148)
src/git/reflog-walk.c,0.00% (0/244),0.00% (0/15),0.00% (0/161)
src/git/refs.c,0.00% (0/1371),0.00% (0/133),0.00% (0/956)
src/git/refs.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/git/refs/debug.c,0.00% (0/272),0.00% (0/29),0.00% (0/239)
src/git/refs/files-backend.c,0.00% (0/1783),0.00% (0/68),0.00% (0/1261)
src/git/refs/iterator.c,0.00% (0/229),0.00% (0/21),0.00% (0/155)
src/git/refs/packed-backend.c,0.00% (0/776),0.00% (0/49),0.00% (0/580)
src/git/refs/ref-cache.c,0.00% (0/276),0.00% (0/22),0.00% (0/213)
src/git/refspec.c,0.00% (0/188),0.00% (0/13),0.00% (0/200)
src/git/remote.c,0.00% (0/1523),0.00% (0/101),0.00% (0/1241)
src/git/replace-object.c,0.00% (0/42),0.00% (0/3),0.00% (0/24)
src/git/replace-object.h,0.00% (0/7),0.00% (0/1),0.00% (0/8)
src/git/repo-settings.c,54.10% (33/61),100.00% (1/1),60.75% (65/107)
src/git/repository.c,17.68% (32/181),23.08% (3/13),31.40% (38/121)
src/git/rerere.c,0.00% (0/759),0.00% (0/47),0.00% (0/581)
src/git/reset.c,0.00% (0/110),0.00% (0/1),0.00% (0/90)
src/git/resolve-undo.c,2.47% (4/162),14.29% (1/7),2.33% (3/129)
src/git/revision.c,0.00% (0/2372),0.00% (0/127),0.00% (0/2007)
src/git/run-command.c,0.00% (0/1130),0.00% (0/67),0.00% (0/821)
src/git/run-command.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/git/send-pack.c,0.00% (0/462),0.00% (0/13),0.00% (0/418)
src/git/sequencer.c,0.00% (0/3910),0.00% (0/137),0.00% (0/3242)
src/git/serve.c,0.00% (0/163),0.00% (0/12),0.00% (0/134)
src/git/server-info.c,0.00% (0/239),0.00% (0/16),0.00% (0/182)
src/git/setup.c,0.00% (0/860),0.00% (0/37),0.00% (0/664)
src/git/sha1dc/sha1.c,0.00% (0/508),0.00% (0/13),0.00% (0/1745)
src/git/sha1dc/ubc_check.c,0.00% (0/262),0.00% (0/1),0.00% (0/257)
src/git/sha1dc_git.c,0.00% (0/15),0.00% (0/2),0.00% (0/8)
src/git/sha256/block/sha256.c,0.00% (0/149),0.00% (0/11),0.00% (0/106)
src/git/shallow.c,0.00% (0/547),0.00% (0/31),0.00% (0/428)
src/git/sideband.c,0.00% (0/164),0.00% (0/5),0.00% (0/128)
src/git/sigchain.c,0.00% (0/38),0.00% (0/5),0.00% (0/31)
src/git/sparse-index.c,0.00% (0/223),0.00% (0/9),0.00% (0/154)
src/git/split-index.c,1.39% (4/288),6.25% (1/16),1.11% (3/270)
src/git/stable-qsort.c,0.00% (0/41),0.00% (0/2),0.00% (0/17)
