Path,Line Coverage,Function Coverage,Region Coverage
src/irssi/subprojects/glib-2.58.3/glib/gerror.c,20.31% (26/128),30.77% (4/13),26.81% (63/235)
src/irssi/subprojects/glib-2.58.3/glib/gfileutils.c,17.62% (154/874),22.86% (8/35),27.01% (252/933)
src/irssi/subprojects/glib-2.58.3/glib/ggettext.c,38.18% (42/110),40.00% (4/10),47.15% (58/123)
src/irssi/subprojects/glib-2.58.3/glib/ghash.c,64.40% (407/632),58.49% (31/53),44.42% (509/1146)
src/irssi/subprojects/glib-2.58.3/glib/giochannel.c,27.32% (345/1263),44.74% (17/38),28.30% (765/2703)
src/irssi/subprojects/glib-2.58.3/glib/giounix.c,44.92% (159/354),66.67% (10/15),51.76% (132/255)
src/irssi/subprojects/glib-2.58.3/glib/glib-autocleanups.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/irssi/subprojects/glib-2.58.3/glib/glib-init.c,39.80% (39/98),71.43% (5/7),22.81% (13/57)
src/irssi/subprojects/glib-2.58.3/glib/glib-unix.c,0.00% (0/121),0.00% (0/10),0.00% (0/125)
src/irssi/subprojects/glib-2.58.3/glib/glist.c,6.22% (26/418),14.29% (5/35),7.93% (26/328)
src/irssi/subprojects/glib-2.58.3/glib/gmacros.h,0.00% (0/5),0.00% (0/5),0.00% (0/5)
src/irssi/subprojects/glib-2.58.3/glib/gmain.c,17.86% (388/2173),20.29% (28/138),15.93% (531/3334)
src/irssi/subprojects/glib-2.58.3/glib/gmem.c,37.50% (51/136),47.06% (8/17),35.75% (69/193)
src/irssi/subprojects/glib-2.58.3/glib/gmem.h,0.00% (0/9),0.00% (0/1),0.00% (0/1)
src/irssi/subprojects/glib-2.58.3/glib/gmessages.c,7.51% (91/1212),13.73% (7/51),4.42% (45/1017)
src/irssi/subprojects/glib-2.58.3/glib/goption.c,11.37% (149/1311),23.53% (12/51),12.95% (214/1653)
src/irssi/subprojects/glib-2.58.3/glib/gpattern.c,0.00% (0/186),0.00% (0/6),0.00% (0/292)
src/irssi/subprojects/glib-2.58.3/glib/gpoll.c,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/irssi/subprojects/glib-2.58.3/glib/gprintf.c,34.48% (20/58),33.33% (3/9),36.23% (50/138)
